Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
FOURTH AVENUE RESIDENCES,"2,380,000",914.94,"2,601",Aug-25,FOURTH AVENUE,Resale,Strata,85,"28,000",-,Apartment,1,99 yrs lease commencing from 2018,10,Core Central Region,01 to 05
EASTWOOD GREEN,"1,655,000","1,173.28","1,411",Aug-25,EASTWOOD ROAD,Resale,Strata,109,"15,183",-,Condominium,1,99 yrs lease commencing from 1995,16,Outside Central Region,01 to 05
CASUARINA COVE,"2,480,000","1,528.49","1,623",Aug-25,TANJONG RHU ROAD,Resale,Strata,142,"17,465",-,Condominium,1,99 yrs lease commencing from 1993,15,Rest of Central Region,11 to 15
SOHO 188,"742,000",419.8,"1,768",Aug-25,RACE COURSE ROAD,Resale,Strata,39,"19,026",-,Apartment,1,Freehold,08,Rest of Central Region,01 to 05
THE IVERIA,"2,520,000",947.23,"2,660",Aug-25,KIM YAM ROAD,Resale,Strata,88,"28,636",-,Apartment,1,Freehold,09,Core Central Region,01 to 05
MARGARET VILLE,"2,158,880",914.94,"2,360",Aug-25,MARGARET DRIVE,Resale,Strata,85,"25,399",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,21 to 25
M21,"1,800,000","1,065.64","1,689",Aug-25,MANDALAY ROAD,Resale,Strata,99,"18,182",-,Apartment,1,Freehold,11,Core Central Region,06 to 10
STIRLING RESIDENCES,"1,030,000",441.32,"2,334",Aug-25,STIRLING ROAD,Resale,Strata,41,"25,122",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,21 to 25
REFLECTIONS AT KEPPEL BAY,"4,320,000","2,658.71","1,625",Aug-25,KEPPEL BAY VIEW,Resale,Strata,247,"17,490",-,Condominium,1,99 yrs lease commencing from 2006,04,Rest of Central Region,06 to 10
VACANZA @ EAST,"748,888",484.38,"1,546",Aug-25,LENGKONG TUJOH,Resale,Strata,45,"16,642",-,Condominium,1,Freehold,14,Outside Central Region,01 to 05
EASTPOINT GREEN,"1,280,000","1,140.98","1,122",Aug-25,SIMEI STREET 3,Resale,Strata,106,"12,075",-,Condominium,1,99 yrs lease commencing from 1996,18,Outside Central Region,01 to 05
THE TENNERY,"848,000",613.55,"1,382",Aug-25,WOODLANDS ROAD,Resale,Strata,57,"14,877",-,Apartment,1,99 yrs lease commencing from 2010,23,Outside Central Region,16 to 20
ST PATRICK'S RESIDENCES,"4,045,000","2,561.83","1,579",Aug-25,ST. PATRICK'S ROAD,Resale,Strata,238,"16,996",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
KINGSFORD WATERBAY,"705,000",473.62,"1,489",Aug-25,UPPER SERANGOON VIEW,Resale,Strata,44,"16,023",-,Apartment,1,99 yrs lease commencing from 2014,19,Outside Central Region,06 to 10
TREE HOUSE,"2,025,000","1,248.62","1,622",Aug-25,CHESTNUT AVENUE,Resale,Strata,116,"17,457",-,Condominium,1,99 yrs lease commencing from 2009,23,Outside Central Region,11 to 15
SYMPHONY SUITES,"1,408,888","1,022.58","1,378",Aug-25,YISHUN CLOSE,Resale,Strata,95,"14,830",-,Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,06 to 10
THE MKZ,"1,300,000",699.66,"1,858",Aug-25,MACKENZIE ROAD,Resale,Strata,65,"20,000",-,Apartment,1,Freehold,09,Core Central Region,01 to 05
THE SPRINGBLOOM,"2,180,000","1,302.44","1,674",Aug-25,SERANGOON AVENUE 3,Resale,Strata,121,"18,017",-,Condominium,1,99 yrs lease commencing from 1995,19,Outside Central Region,06 to 10
VENTURA VIEW,"1,048,000",764.24,"1,371",Aug-25,RAMBUTAN ROAD,Resale,Strata,71,"14,761",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
EIGHT RIVERSUITES,"1,760,000",936.47,"1,879",Aug-25,WHAMPOA EAST,Resale,Strata,87,"20,230",-,Condominium,1,99 yrs lease commencing from 2011,12,Rest of Central Region,21 to 25
SUNVILLE,"1,368,888",936.47,"1,462",Aug-25,ST. MICHAEL'S ROAD,Resale,Strata,87,"15,734",-,Apartment,1,Freehold,12,Rest of Central Region,06 to 10
ALEX RESIDENCES,"1,560,000",678.13,"2,300",Aug-25,ALEXANDRA VIEW,Resale,Strata,63,"24,762",-,Apartment,1,99 yrs lease commencing from 2013,03,Rest of Central Region,11 to 15
THE TENNERY,"818,000",613.55,"1,333",Aug-25,WOODLANDS ROAD,Resale,Strata,57,"14,351",-,Apartment,1,99 yrs lease commencing from 2010,23,Outside Central Region,11 to 15
KING'S MANSION,"3,250,000","1,603.84","2,026",Aug-25,TANJONG KATONG ROAD,Resale,Strata,149,"21,812",-,Condominium,1,Freehold,15,Rest of Central Region,21 to 25
CASTLE GREEN,"1,510,000","1,151.75","1,311",Aug-25,YIO CHU KANG ROAD,Resale,Strata,107,"14,112",-,Condominium,1,99 yrs lease commencing from 1993,26,Outside Central Region,01 to 05
THE TANAMERA,"1,150,000",958,"1,200",Aug-25,TANAH MERAH KECHIL ROAD,Resale,Strata,89,"12,921",-,Condominium,1,99 yrs lease commencing from 1990,16,Outside Central Region,01 to 05
WATERTOWN,"980,000",570.49,"1,718",Aug-25,PUNGGOL CENTRAL,Resale,Strata,53,"18,491",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
DOMUS,"2,650,000","1,367.03","1,939",Aug-25,IRRAWADDY ROAD,Resale,Strata,127,"20,866",-,Apartment,1,Freehold,12,Rest of Central Region,11 to 15
SHELFORD SUITES,"2,750,000","1,270.15","2,165",Aug-25,SHELFORD ROAD,Resale,Strata,118,"23,305",-,Condominium,1,Freehold,11,Core Central Region,01 to 05
FOREST WOODS,"2,885,000","1,237.86","2,331",Aug-25,LORONG LEW LIAN,Resale,Strata,115,"25,087",-,Condominium,1,99 yrs lease commencing from 2016,19,Outside Central Region,06 to 10
SUTTON PLACE,"4,388,888","3,003.16","1,461",Aug-25,FARRER ROAD,Resale,Strata,279,"15,731",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
VIVA VISTA,"1,150,000",807.3,"1,425",Aug-25,SOUTH BUONA VISTA ROAD,Resale,Strata,75,"15,333",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
RIVERFRONT RESIDENCES,"1,070,000",613.55,"1,744",Aug-25,HOUGANG AVENUE 7,Resale,Strata,57,"18,772",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
THE TRUMPS,"1,698,888",979.52,"1,734",Aug-25,JALAN KEMBANGAN,Resale,Strata,91,"18,669",-,Condominium,1,99 yrs lease commencing from 2000,14,Outside Central Region,06 to 10
D'NEST,"1,000,000",775.01,"1,290",Aug-25,PASIR RIS GROVE,Resale,Strata,72,"13,889",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,01 to 05
ATRIUM RESIDENCES,"1,630,000","1,022.58","1,594",Aug-25,LORONG 28 GEYLANG,Resale,Strata,95,"17,158",-,Apartment,1,Freehold,14,Rest of Central Region,06 to 10
MARGARET VILLE,"1,200,000",527.44,"2,275",Aug-25,MARGARET DRIVE,Resale,Strata,49,"24,490",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,36 to 40
LEONIE SUITES,"1,900,000",936.47,"2,029",Aug-25,LEONIE HILL,Resale,Strata,87,"21,839",-,Apartment,1,99 yrs lease commencing from 2002,09,Core Central Region,11 to 15
SUITES AT ORCHARD,"1,050,000",559.73,"1,876",Aug-25,HANDY ROAD,Resale,Strata,52,"20,192",-,Apartment,1,99 yrs lease commencing from 2007,09,Core Central Region,06 to 10
STRATFORD COURT,"1,400,000","1,151.75","1,216",Aug-25,BEDOK RIA CRESCENT,Resale,Strata,107,"13,084",-,Condominium,1,99 yrs lease commencing from 1995,16,Outside Central Region,01 to 05
BISHAN 8,"2,218,000","1,162.51","1,908",Aug-25,BISHAN STREET 21,Resale,Strata,108,"20,537",-,Condominium,1,99 yrs lease commencing from 1996,20,Rest of Central Region,06 to 10
CASA AL MARE,"2,100,000","1,130.22","1,858",Aug-25,JALAN LOYANG BESAR,Resale,Strata,105,"20,000",-,Apartment,1,Freehold,17,Outside Central Region,01 to 05
TWIN VEW,"1,075,000",570.49,"1,884",Aug-25,WEST COAST VALE,Resale,Strata,53,"20,283",-,Apartment,1,99 yrs lease commencing from 2017,05,Outside Central Region,11 to 15
THE CREST,"2,308,888","1,237.86","1,865",Aug-25,PRINCE CHARLES CRESCENT,Resale,Strata,115,"20,077",-,Condominium,1,99 yrs lease commencing from 2012,03,Rest of Central Region,16 to 20
GRAMERCY PARK,"5,700,000","1,948.28","2,926",Aug-25,GRANGE ROAD,Resale,Strata,181,"31,492",-,Condominium,1,Freehold,10,Core Central Region,21 to 25
THE TREVOSE,"3,158,000","1,733","1,822",Aug-25,TREVOSE CRESCENT,Resale,Strata,161,"19,615",-,Condominium,1,99 yrs lease commencing from 1996,11,Core Central Region,01 to 05
TREASURE AT TAMPINES,"1,680,000",914.94,"1,836",Aug-25,TAMPINES LANE,Resale,Strata,85,"19,765",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,11 to 15
Q BAY RESIDENCES,"1,725,000","1,119.46","1,541",Aug-25,TAMPINES STREET 86,Resale,Strata,104,"16,587",-,Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,06 to 10
BOATHOUSE RESIDENCES,"1,308,000",914.94,"1,430",Aug-25,UPPER SERANGOON VIEW,Resale,Strata,85,"15,388",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
THE RESIDENCES AT W SINGAPORE SENTOSA COVE,"3,606,400","2,066.69","1,745",Aug-25,OCEAN WAY,Resale,Strata,192,"18,783",-,Condominium,1,99 yrs lease commencing from 2006,04,Core Central Region,01 to 05
PARC RIVIERA,"1,030,000",602.78,"1,709",Aug-25,WEST COAST VALE,Resale,Strata,56,"18,393",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,16 to 20
QUEENS PEAK,"1,940,000",861.12,"2,253",Aug-25,DUNDEE ROAD,Resale,Strata,80,"24,250",-,Condominium,1,99 yrs lease commencing from 2015,03,Rest of Central Region,26 to 30
THE SUITES AT CENTRAL,"3,330,000","1,399.32","2,380",Aug-25,DEVONSHIRE ROAD,Resale,Strata,130,"25,615",-,Condominium,1,Freehold,09,Core Central Region,11 to 15
WATERTOWN,"2,450,000","1,216.33","2,014",Aug-25,PUNGGOL CENTRAL,Resale,Strata,113,"21,681",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
KANDIS RESIDENCE,"1,050,000",775.01,"1,355",Aug-25,KANDIS LINK,Resale,Strata,72,"14,583",-,Condominium,1,99 yrs lease commencing from 2016,27,Outside Central Region,01 to 05
THE VERANDAH RESIDENCES,"1,930,000",990.29,"1,949",Aug-25,PASIR PANJANG ROAD,Resale,Strata,92,"20,978",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
WING FONG MANSIONS,"1,200,000","1,162.51","1,032",Aug-25,LORONG 14 GEYLANG,Resale,Strata,108,"11,111",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
RIVERBANK @ FERNVALE,"1,395,000",947.23,"1,473",Aug-25,FERNVALE CLOSE,Resale,Strata,88,"15,852",-,Condominium,1,99 yrs lease commencing from 2013,28,Outside Central Region,11 to 15
LAKEVILLE,"1,240,000",764.24,"1,623",Jul-25,JURONG LAKE LINK,Resale,Strata,71,"17,465",-,Condominium,1,99 yrs lease commencing from 2013,22,Outside Central Region,01 to 05
EDELWEISS PARK CONDOMINIUM,"1,190,000","1,054.87","1,128",Jul-25,FLORA ROAD,Resale,Strata,98,"12,143",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
KINGSFORD . HILLVIEW PEAK,"775,000",527.44,"1,469",Jul-25,HILLVIEW RISE,Resale,Strata,49,"15,816",-,Condominium,1,99 yrs lease commencing from 2012,23,Outside Central Region,06 to 10
WHISTLER GRAND,"930,000",505.91,"1,838",Jul-25,WEST COAST VALE,Resale,Strata,47,"19,787",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,31 to 35
THE MINTON,"2,300,888","1,334.74","1,724",Jul-25,HOUGANG STREET 11,Resale,Strata,124,"18,556",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,06 to 10
SIMS URBAN OASIS,"2,228,888","1,033.34","2,157",Jul-25,SIMS DRIVE,Resale,Strata,96,"23,218",-,Condominium,1,99 yrs lease commencing from 2014,14,Rest of Central Region,11 to 15
ONE TREE HILL RESIDENCE,"3,100,000","1,227.1","2,526",Jul-25,ONE TREE HILL,Resale,Strata,114,"27,193",-,Apartment,1,Freehold,10,Core Central Region,01 to 05
SIMS URBAN OASIS,"875,000",441.32,"1,983",Jul-25,SIMS DRIVE,Resale,Strata,41,"21,341",-,Condominium,1,99 yrs lease commencing from 2014,14,Rest of Central Region,11 to 15
CORALS AT KEPPEL BAY,"1,700,000",925.7,"1,836",Jul-25,KEPPEL BAY DRIVE,Resale,Strata,86,"19,767",-,Condominium,1,99 yrs lease commencing from 2007,04,Rest of Central Region,01 to 05
BOTANIQUE AT BARTLEY,"1,535,000",731.95,"2,097",Jul-25,UPPER PAYA LEBAR ROAD,Resale,Strata,68,"22,574",-,Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,16 to 20
TANGLIN RESIDENCES,"5,500,000","2,529.54","2,174",Jul-25,ST. MARTIN'S DRIVE,Resale,Strata,235,"23,404",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
DOMAIN 21,"1,700,000",904.18,"1,880",Jul-25,DELTA ROAD,Resale,Strata,84,"20,238",-,Condominium,1,99 yrs lease commencing from 2004,03,Rest of Central Region,16 to 20
ALEX RESIDENCES,"1,544,000",678.13,"2,277",Jul-25,ALEXANDRA VIEW,Resale,Strata,63,"24,508",-,Apartment,1,99 yrs lease commencing from 2013,03,Rest of Central Region,26 to 30
MY MANHATTAN,"1,480,000",882.65,"1,677",Jul-25,SIMEI STREET 3,Resale,Strata,82,"18,049",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,06 to 10
TREASURE AT TAMPINES,"1,660,000",914.94,"1,814",Jul-25,TAMPINES LANE,Resale,Strata,85,"19,529",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10
HERITAGE VIEW,"2,010,000","1,194.8","1,682",Jul-25,DOVER RISE,Resale,Strata,111,"18,108",-,Condominium,1,99 yrs lease commencing from 1996,05,Rest of Central Region,11 to 15
TREE HOUSE,"1,220,000",796.54,"1,532",Jul-25,CHESTNUT AVENUE,Resale,Strata,74,"16,486",-,Condominium,1,99 yrs lease commencing from 2009,23,Outside Central Region,11 to 15
TREE HOUSE,"1,795,000","1,151.75","1,559",Jul-25,CHESTNUT AVENUE,Resale,Strata,107,"16,776",-,Condominium,1,99 yrs lease commencing from 2009,23,Outside Central Region,11 to 15
CASA MERAH,"1,320,000",947.23,"1,394",Jul-25,TANAH MERAH KECHIL AVENUE,Resale,Strata,88,"15,000",-,Apartment,1,99 yrs lease commencing from 2006,16,Outside Central Region,01 to 05
76 SHENTON,"1,200,000",624.31,"1,922",Jul-25,SHENTON WAY,Resale,Strata,58,"20,690",-,Apartment,1,99 yrs lease commencing from 2007,02,Core Central Region,06 to 10
8@WOODLEIGH,"1,810,000",958,"1,889",Jul-25,WOODLEIGH CLOSE,Resale,Strata,89,"20,337",-,Condominium,1,99 yrs lease commencing from 2008,13,Rest of Central Region,01 to 05
8 @ MOUNT SOPHIA,"1,280,000",861.12,"1,486",Jul-25,MOUNT SOPHIA,Resale,Strata,80,"16,000",-,Condominium,1,103 yrs lease commencing from 2002,09,Core Central Region,01 to 05
WATERVIEW,"1,230,000",785.77,"1,565",Jul-25,TAMPINES AVENUE 1,Resale,Strata,73,"16,849",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,06 to 10
PARC ESTA,"1,650,000",742.72,"2,222",Jul-25,SIMS AVENUE,Resale,Strata,69,"23,913",-,Apartment,1,99 yrs lease commencing from 2018,14,Rest of Central Region,01 to 05
STARS OF KOVAN,"1,880,000",947.23,"1,985",Jul-25,UPPER SERANGOON ROAD,Resale,Strata,88,"21,364",-,Apartment,1,99 yrs lease commencing from 2015,19,Outside Central Region,06 to 10
WESTCOVE CONDOMINIUM,"1,230,000","1,334.74",922,Jul-25,WEST COAST CRESCENT,Resale,Strata,124,"9,919",-,Condominium,1,99 yrs lease commencing from 1995,05,Outside Central Region,01 to 05
CITYSCAPE @FARRER PARK,"2,308,000","1,377.79","1,675",Jul-25,MERGUI ROAD,Resale,Strata,128,"18,031",-,Condominium,1,Freehold,08,Rest of Central Region,26 to 30
BRADDELL VIEW,"1,575,000","1,582.31",995,Jul-25,BRADDELL HILL,Resale,Strata,147,"10,714",-,Apartment,1,102 yrs lease commencing from 1978,20,Rest of Central Region,01 to 05
LEONIE SUITES,"1,830,000",925.7,"1,977",Jul-25,LEONIE HILL,Resale,Strata,86,"21,279",-,Apartment,1,99 yrs lease commencing from 2002,09,Core Central Region,21 to 25
THE INTERLACE,"3,215,000","1,808.35","1,778",Jul-25,DEPOT ROAD,Resale,Strata,168,"19,137",-,Condominium,1,99 yrs lease commencing from 2009,04,Rest of Central Region,11 to 15
COCO PALMS,"1,288,000",742.72,"1,734",Jul-25,PASIR RIS GROVE,Resale,Strata,69,"18,667",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,01 to 05
EAST MEADOWS,"1,600,000","1,237.86","1,293",Jul-25,TANAH MERAH KECHIL ROAD,Resale,Strata,115,"13,913",-,Condominium,1,99 yrs lease commencing from 1998,16,Outside Central Region,11 to 15
THOMSON THREE,"878,000",495.14,"1,773",Jul-25,BRIGHT HILL DRIVE,Resale,Strata,46,"19,087",-,Apartment,1,99 yrs lease commencing from 2012,20,Rest of Central Region,01 to 05
NEPTUNE COURT,"1,230,000","1,270.15",968,Jul-25,MARINE VISTA,Resale,Strata,118,"10,424",-,Apartment,1,99 yrs lease commencing from 1976,15,Outside Central Region,06 to 10
TRE RESIDENCES,"1,836,888",947.23,"1,939",Jul-25,GEYLANG EAST AVENUE 1,Resale,Strata,88,"20,874",-,Condominium,1,99 yrs lease commencing from 2014,14,Rest of Central Region,11 to 15
SUNHAVEN,"1,830,000","1,313.21","1,394",Jul-25,UPPER CHANGI ROAD EAST,Resale,Strata,122,"15,000",-,Condominium,1,Freehold,16,Outside Central Region,06 to 10
JADESCAPE,"1,580,000",764.24,"2,067",Jul-25,SHUNFU ROAD,Resale,Strata,71,"22,254",-,Condominium,1,99 yrs lease commencing from 2018,20,Rest of Central Region,01 to 05
QUEENS PEAK,"1,940,000",850.36,"2,281",Jul-25,DUNDEE ROAD,Resale,Strata,79,"24,557",-,Condominium,1,99 yrs lease commencing from 2015,03,Rest of Central Region,36 to 40
CENTRA STUDIOS,"641,800",376.74,"1,704",Jul-25,LORONG 25 GEYLANG,Resale,Strata,35,"18,337",-,Apartment,1,Freehold,14,Rest of Central Region,06 to 10
FLAME TREE PARK,"3,456,000","1,829.88","1,889",Jul-25,SIN MING AVENUE,Resale,Strata,170,"20,329",-,Condominium,1,Freehold,20,Rest of Central Region,06 to 10
WHISTLER GRAND,"1,128,000",613.55,"1,838",Jul-25,WEST COAST VALE,Resale,Strata,57,"19,789",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,01 to 05
BRADDELL VIEW,"1,780,000","1,862.17",956,Jul-25,BRADDELL HILL,Resale,Strata,173,"10,289",-,Apartment,1,102 yrs lease commencing from 1978,20,Rest of Central Region,01 to 05
CASUARINA COVE,"2,200,000","1,463.9","1,503",Jul-25,TANJONG RHU ROAD,Resale,Strata,136,"16,176",-,Condominium,1,99 yrs lease commencing from 1993,15,Rest of Central Region,01 to 05
PARC VERA,"1,250,000",871.88,"1,434",Jul-25,HOUGANG STREET 32,Resale,Strata,81,"15,432",-,Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,11 to 15
HUNDRED TREES,"2,500,000","1,313.21","1,904",Jul-25,WEST COAST DRIVE,Resale,Strata,122,"20,492",-,Condominium,1,956 yrs lease commencing from 1928,05,Outside Central Region,06 to 10
NV RESIDENCES,"1,285,000",904.18,"1,421",Jul-25,PASIR RIS GROVE,Resale,Strata,84,"15,298",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,06 to 10
PARC ESTA,"1,655,000",742.72,"2,228",Jul-25,SIMS AVENUE,Resale,Strata,69,"23,986",-,Apartment,1,99 yrs lease commencing from 2018,14,Rest of Central Region,06 to 10
AMARANDA GARDENS,"2,610,000","1,162.51","2,245",Jul-25,SERANGOON AVENUE 3,Resale,Strata,108,"24,167",-,Condominium,1,Freehold,19,Outside Central Region,06 to 10
D'LEEDON,"3,428,000","1,657.66","2,068",Jul-25,LEEDON HEIGHTS,Resale,Strata,154,"22,260",-,Condominium,1,99 yrs lease commencing from 2010,10,Core Central Region,16 to 20
NEW FUTURA,"8,000,000","2,691","2,973",Jul-25,LEONIE HILL ROAD,Resale,Strata,250,"32,000",-,Condominium,1,Freehold,09,Core Central Region,21 to 25
CENTRAL GREEN CONDOMINIUM,"2,250,000","1,291.68","1,742",Jul-25,JALAN MEMBINA,Resale,Strata,120,"18,750",-,Condominium,1,99 yrs lease commencing from 1992,03,Rest of Central Region,01 to 05
URBAN VISTA,"1,420,000",904.18,"1,570",Jul-25,TANAH MERAH KECHIL LINK,Resale,Strata,84,"16,905",-,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,06 to 10
THOMSON 800,"3,300,000","1,625.36","2,030",Jul-25,THOMSON ROAD,Resale,Strata,151,"21,854",-,Condominium,1,Freehold,11,Core Central Region,01 to 05
HIGH PARK RESIDENCES,"1,320,000",871.88,"1,514",Jul-25,FERNVALE ROAD,Resale,Strata,81,"16,296",-,Apartment,1,99 yrs lease commencing from 2014,28,Outside Central Region,01 to 05
THE FLORENCE RESIDENCES,"1,125,000",635.08,"1,771",Jul-25,HOUGANG AVENUE 2,Resale,Strata,59,"19,068",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
LEONIE GARDENS,"3,160,000","1,733","1,823",Jul-25,LEONIE HILL,Resale,Strata,161,"19,627",-,Condominium,1,99 yrs lease commencing from 1990,09,Core Central Region,11 to 15
THE SPRINGBLOOM,"1,780,000","1,119.46","1,590",Jul-25,SERANGOON AVENUE 3,Resale,Strata,104,"17,115",-,Condominium,1,99 yrs lease commencing from 1995,19,Outside Central Region,01 to 05
EVERGREEN PARK,"1,160,000","1,065.64","1,089",Jul-25,HOUGANG AVENUE 7,Resale,Strata,99,"11,717",-,Apartment,1,99 yrs lease commencing from 1995,19,Outside Central Region,06 to 10
TREASURE AT TAMPINES,"1,100,000",678.13,"1,622",Jul-25,TAMPINES LANE,Resale,Strata,63,"17,460",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10
PARC SOPHIA,"978,000",548.96,"1,782",Jul-25,ADIS ROAD,Resale,Strata,51,"19,176",-,Apartment,1,Freehold,09,Core Central Region,01 to 05
GUILIN VIEW,"1,588,000","1,259.39","1,261",Jul-25,BUKIT BATOK STREET 52,Resale,Strata,117,"13,573",-,Condominium,1,99 yrs lease commencing from 1996,23,Outside Central Region,16 to 20
CANBERRA RESIDENCES,"1,020,000",850.36,"1,199",Jul-25,CANBERRA DRIVE,Resale,Strata,79,"12,911",-,Condominium,1,99 yrs lease commencing from 2010,27,Outside Central Region,01 to 05
PARK PLACE RESIDENCES AT PLQ,"1,860,000",904.18,"2,057",Jul-25,PAYA LEBAR ROAD,Resale,Strata,84,"22,143",-,Apartment,1,99 yrs lease commencing from 2015,14,Rest of Central Region,01 to 05
RIVER PLACE,"1,168,000",678.13,"1,722",Jul-25,HAVELOCK ROAD,Resale,Strata,63,"18,540",-,Condominium,1,99 yrs lease commencing from 1995,03,Rest of Central Region,01 to 05
THE FLORENCE RESIDENCES,"850,000",484.38,"1,755",Jul-25,HOUGANG AVENUE 2,Resale,Strata,45,"18,889",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
WATERVIEW,"1,310,000",979.52,"1,337",Jul-25,TAMPINES AVENUE 1,Resale,Strata,91,"14,396",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,01 to 05
MELVILLE PARK,"888,000",936.47,948,Jul-25,SIMEI STREET 1,Resale,Strata,87,"10,207",-,Condominium,1,99 yrs lease commencing from 1992,18,Outside Central Region,06 to 10
PLATINUM EDGE,"1,793,000","1,054.87","1,700",Jul-25,LEICESTER ROAD,Resale,Strata,98,"18,296",-,Apartment,1,Freehold,13,Rest of Central Region,01 to 05
VIVACE,"860,000",452.09,"1,902",Jul-25,TONG WATT ROAD,Resale,Strata,42,"20,476",-,Apartment,1,999 yrs lease commencing from 1841,09,Core Central Region,01 to 05
19 NASSIM,"2,003,000",645.84,"3,101",Jul-25,NASSIM HILL,Resale,Strata,60,"33,383",-,Apartment,1,99 yrs lease commencing from 2019,10,Core Central Region,06 to 10
REFLECTIONS AT KEPPEL BAY,"2,170,000","1,280.92","1,694",Jul-25,KEPPEL BAY VIEW,Resale,Strata,119,"18,235",-,Condominium,1,99 yrs lease commencing from 2006,04,Rest of Central Region,06 to 10
SUITES 28,"855,000","1,033.34",827,Jul-25,LORONG 30 GEYLANG,Resale,Strata,96,"8,906",-,Apartment,1,Freehold,14,Rest of Central Region,06 to 10
HORIZON TOWERS,"3,400,000","2,486.48","1,367",Jul-25,LEONIE HILL,Resale,Strata,231,"14,719",-,Condominium,1,99 yrs lease commencing from 1979,09,Core Central Region,01 to 05
CUBE 8,"2,700,000","1,334.74","2,023",Jul-25,THOMSON ROAD,Resale,Strata,124,"21,774",-,Condominium,1,Freehold,11,Core Central Region,16 to 20
RIVERFRONT RESIDENCES,"2,450,000","1,410.08","1,737",Jul-25,HOUGANG AVENUE 7,Resale,Strata,131,"18,702",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
LANDBAY CONDOMINIUM,"1,755,000",979.52,"1,792",Jul-25,JALAN HAJIJAH,Resale,Strata,91,"19,286",-,Condominium,1,Freehold,16,Outside Central Region,01 to 05
SEASIDE RESIDENCES,"1,200,000",559.73,"2,144",Jul-25,SIGLAP LINK,Resale,Strata,52,"23,077",-,Apartment,1,99 yrs lease commencing from 2016,15,Outside Central Region,06 to 10
SAVANNAH CONDOPARK,"1,480,000","1,227.1","1,206",Jul-25,SIMEI RISE,Resale,Strata,114,"12,982",-,Condominium,1,99 yrs lease commencing from 2000,18,Outside Central Region,01 to 05
KINGSFORD . HILLVIEW PEAK,"1,240,000",775.01,"1,600",Jul-25,HILLVIEW RISE,Resale,Strata,72,"17,222",-,Condominium,1,99 yrs lease commencing from 2012,23,Outside Central Region,21 to 25
TANAH MERAH MANSION,"1,380,000","1,194.8","1,155",Jul-25,TANAH MERAH KECHIL ROAD SOUTH,Resale,Strata,111,"12,432",-,Condominium,1,Freehold,16,Outside Central Region,01 to 05
ASTORIA PARK,"1,240,000",958,"1,294",Jul-25,LORONG MYDIN,Resale,Strata,89,"13,933",-,Condominium,1,99 yrs lease commencing from 1993,14,Outside Central Region,11 to 15
MAPLE WOODS,"3,150,000","1,377.79","2,286",Jul-25,BUKIT TIMAH ROAD,Resale,Strata,128,"24,609",-,Condominium,1,Freehold,21,Rest of Central Region,01 to 05
TREASURE AT TAMPINES,"1,245,888",678.13,"1,837",Jul-25,TAMPINES LANE,Resale,Strata,63,"19,776",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,11 to 15
